group,cpu_pct,ram_pct,ram_gb
0_cams,9.468,5.949,7.465
0_cams,8.649,5.945,7.461
0_cams,9.435,5.951,7.467
0_cams,5.862,5.939,7.453
0_cams,5.862,5.939,7.453
0_cams,7.316,5.937,7.451
0_cams,6.509,5.939,7.452
0_cams,6.218,5.947,7.463
0_cams,6.159,5.947,7.463
0_cams,6.149,5.948,7.464
0_cams,5.85,5.948,7.464
0_cams,5.906,5.944,7.459
0_cams,6.489,5.943,7.458
0_cams,6.064,5.952,7.469
0_cams,5.612,5.952,7.469
0_cams,5.853,5.953,7.47
0_cams,6.105,5.951,7.468
0_cams,5.758,5.94,7.453
0_cams,6.01,5.94,7.454
0_cams,5.749,5.939,7.453
0_cams,6.051,5.94,7.454
0_cams,5.853,5.945,7.461
0_cams,6.552,5.944,7.459
0_cams,5.268,5.951,7.467
0_cams,5.696,5.951,7.468
0_cams,6.2,5.942,7.457
0_cams,5.74,5.943,7.457
0_cams,6.064,5.949,7.466
0_cams,6.042,5.949,7.465
0_cams,6.663,5.939,7.452
0_cams,6.902,5.939,7.453
0_cams,6.247,5.942,7.456
0_cams,5.755,5.942,7.456
0_cams,8.577,5.944,7.459
0_cams,6.404,5.945,7.46
0_cams,11.624,5.966,7.486
0_cams,8.999,5.962,7.482
0_cams,12.582,5.993,7.521
0_cams,6.582,6.005,7.535
0_cams,7.475,5.998,7.527
0_cams,7.824,5.997,7.525
0_cams,7.731,6.005,7.535
0_cams,7.377,6.004,7.534
0_cams,5.978,6.003,7.533
0_cams,8.553,6.012,7.545
0_cams,6.414,6.012,7.545
0_cams,7.638,6.002,7.531
0_cams,5.897,5.999,7.528
0_cams,9.62,6.002,7.531
0_cams,6.421,5.996,7.525
0_cams,6.808,5.984,7.509
0_cams,7.529,5.985,7.511
0_cams,9.302,5.984,7.509
0_cams,9.707,5.984,7.509
0_cams,6.566,5.982,7.506
0_cams,5.954,5.98,7.505
0_cams,8.443,5.985,7.511
0_cams,5.722,5.985,7.51
0_cams,7.222,5.988,7.515
0_cams,5.356,5.982,7.507
0_cams,7.883,5.988,7.515
0_cams,5.502,5.988,7.515
0_cams,6.108,5.984,7.51
0_cams,6.108,5.978,7.502
0_cams,8.443,5.982,7.506
0_cams,6.499,5.978,7.502
0_cams,6.348,5.975,7.498
0_cams,7.327,5.975,7.498
0_cams,6.159,5.975,7.498
0_cams,5.704,5.972,7.494
0_cams,6.215,5.964,7.484
0_cams,5.9,5.96,7.479
0_cams,7.723,5.96,7.479
0_cams,8.283,5.961,7.48
0_cams,8.156,5.964,7.484
0_cams,5.659,5.964,7.485
0_cams,6.404,5.963,7.483
0_cams,5.684,5.963,7.482
0_cams,8.544,5.968,7.49
0_cams,7.161,5.963,7.483
0_cams,6.465,5.957,7.476
0_cams,6.829,5.958,7.476
0_cams,7.443,5.953,7.471
0_cams,5.642,5.954,7.471
0_cams,6.559,5.954,7.471
0_cams,6.637,5.953,7.471
0_cams,5.567,5.95,7.466
0_cams,5.785,5.944,7.459
0_cams,5.752,5.944,7.46
0_cams,6.004,5.949,7.465
0_cams,6.099,5.949,7.466
0_cams,5.992,5.954,7.472
0_cams,9.325,5.956,7.474
0_cams,6.916,5.948,7.464
0_cams,5.903,5.948,7.464
0_cams,6.663,5.947,7.462
0_cams,5.609,5.947,7.462
0_cams,6.344,5.947,7.462
0_cams,5.713,5.947,7.463
0_cams,6.247,5.939,7.453
0_cams,5.665,5.939,7.452
0_cams,5.693,5.943,7.457
0_cams,6.076,5.946,7.461
0_cams,7.891,5.946,7.462
0_cams,6.102,5.947,7.462
0_cams,6.512,5.936,7.449
0_cams,5.963,5.936,7.449
0_cams,5.415,5.942,7.456
0_cams,6.253,5.942,7.457
0_cams,5.909,5.947,7.463
0_cams,6.212,5.95,7.466
0_cams,5.811,5.949,7.465
0_cams,6.263,5.948,7.464
0_cams,5.617,5.956,7.474
0_cams,5.704,5.956,7.474
0_cams,6.111,5.945,7.461
0_cams,5.556,5.946,7.461
0_cams,5.992,5.952,7.469
0_cams,6.155,5.952,7.469
0_cams,5.502,5.946,7.462
0_cams,6.004,5.94,7.454
0_cams,5.724,5.945,7.46
0_cams,6.93,5.94,7.454
0_cams,6.004,5.941,7.455
0_cams,5.505,5.935,7.448
0_cams,11.196,5.937,7.45
0_cams,5.82,5.934,7.447
0_cams,6.465,5.933,7.445
0_cams,5.85,5.934,7.447
0_cams,6.001,5.937,7.45
0_cams,5.903,5.936,7.449
0_cams,5.364,5.934,7.446
0_cams,6.838,5.935,7.448
0_cams,7.226,5.937,7.45
0_cams,5.567,5.942,7.457
0_cams,6.001,5.942,7.457
0_cams,6.058,5.945,7.46
0_cams,5.808,5.945,7.461
0_cams,6.71,5.939,7.452
0_cams,6.013,5.939,7.452
0_cams,5.96,5.942,7.457
0_cams,6.001,5.942,7.457
0_cams,6.323,5.949,7.465
0_cams,5.441,5.949,7.465
0_cams,5.909,5.941,7.456
0_cams,6.099,5.941,7.456
0_cams,5.915,5.94,7.454
0_cams,6.414,5.94,7.454
0_cams,7.276,5.948,7.465
0_cams,6.401,5.949,7.465
0_cams,6.67,5.947,7.463
0_cams,6.096,5.947,7.463
0_cams,6.206,5.949,7.465
0_cams,5.648,5.949,7.465
0_cams,5.96,5.941,7.455
0_cams,7.828,5.94,7.455
0_cams,7.51,5.942,7.456
0_cams,7.533,5.943,7.458
0_cams,8.232,5.949,7.465
0_cams,6.879,5.949,7.465
0_cams,7.125,5.939,7.453
0_cams,7.801,5.939,7.453
0_cams,7.677,5.934,7.446
0_cams,7.078,5.934,7.447
0_cams,8.186,5.94,7.453
0_cams,6.973,5.94,7.454
0_cams,7.269,5.946,7.461
0_cams,7.067,5.946,7.461
0_cams,7.529,5.938,7.452
0_cams,7.013,5.939,7.452
0_cams,7.794,5.934,7.447
0_cams,7.348,5.935,7.448
0_cams,7.626,5.935,7.447
0_cams,6.865,5.935,7.447
0_cams,7.883,5.934,7.447
0_cams,7.448,5.934,7.447
0_cams,8.135,5.939,7.453
0_cams,7.42,5.941,7.455
0_cams,7.37,5.959,7.478
0_cams,8.397,5.95,7.467
0_cams,8.182,5.95,7.467
0_cams,7.712,5.948,7.464
0_cams,7.941,5.948,7.465
0_cams,6.31,5.953,7.47
0_cams,7.471,5.953,7.47
0_cams,7.626,5.953,7.47
0_cams,7.727,5.954,7.471
0_cams,7.389,5.957,7.475
0_cams,6.111,5.954,7.471
0_cams,6.099,5.951,7.468
0_cams,6.01,5.951,7.467
0_cams,6.717,5.942,7.457
0_cams,6.266,5.941,7.455
0_cams,7.143,5.946,7.462
0_cams,7.467,5.947,7.463
0_cams,6.673,5.945,7.46
0_cams,7.875,5.945,7.46
0_cams,7.428,5.937,7.451
0_cams,5.556,5.939,7.453
0_cams,5.817,5.934,7.447
0_cams,6.111,5.934,7.447
0_cams,6.016,5.934,7.447
0_cams,6.253,5.935,7.447
0_cams,8.161,5.945,7.46
0_cams,5.651,5.945,7.46
0_cams,6.926,5.946,7.462
0_cams,5.561,5.946,7.461
0_cams,7.01,5.953,7.47
0_cams,5.606,5.953,7.47
0_cams,6.159,5.949,7.466
0_cams,6.007,5.95,7.466
0_cams,5.992,5.943,7.458
0_cams,7.603,5.944,7.459
0_cams,6.876,5.949,7.465
0_cams,6.546,5.943,7.458
0_cams,6.474,5.952,7.469
0_cams,6.478,5.953,7.47
0_cams,8.228,5.954,7.472
0_cams,7.677,5.954,7.472
0_cams,7.941,5.955,7.473
0_cams,7.774,5.955,7.473
0_cams,7.175,5.96,7.479
0_cams,7.731,5.959,7.478
0_cams,7.46,5.959,7.478
0_cams,8.14,5.955,7.473
0_cams,7.269,5.955,7.472
0_cams,7.692,5.961,7.48
0_cams,5.707,5.961,7.481
0_cams,7.244,5.952,7.469
0_cams,7.63,5.953,7.47
0_cams,10.293,5.928,7.439
0_cams,8.687,5.928,7.439
0_cams,6.528,5.925,7.435
0_cams,8.228,5.925,7.436
0_cams,7.879,5.929,7.44
0_cams,7.719,5.929,7.44
0_cams,7.027,5.923,7.433
0_cams,7.572,5.924,7.434
0_cams,7.269,5.927,7.438
0_cams,6.297,5.927,7.438
0_cams,8.77,5.925,7.435
0_cams,7.482,5.925,7.435
0_cams,7.619,5.927,7.437
0_cams,8.426,5.927,7.438
0_cams,7.925,5.933,7.445
0_cams,7.183,5.924,7.434
0_cams,6.66,5.924,7.433
0_cams,5.805,5.924,7.433
0_cams,7.54,5.927,7.438
0_cams,6.844,5.927,7.438
0_cams,8.174,5.928,7.439
0_cams,6.761,5.928,7.439
0_cams,7.615,5.933,7.445
0_cams,6.613,5.933,7.445
0_cams,8.085,5.922,7.431
0_cams,6.377,5.922,7.431
0_cams,8.291,5.925,7.435
0_cams,6.93,5.925,7.436
0_cams,9.178,5.927,7.438
0_cams,6.811,5.927,7.437
0_cams,7.832,5.928,7.439
0_cams,6.822,5.929,7.44
0_cams,7.121,5.938,7.451
0_cams,6.89,5.938,7.451
0_cams,7.389,5.938,7.451
0_cams,7.219,5.937,7.451
0_cams,6.7,5.942,7.457
0_cams,5.802,5.942,7.457
0_cams,7.273,5.942,7.456
0_cams,8.967,5.944,7.46
0_cams,6.562,5.945,7.46
0_cams,7.544,5.937,7.45
0_cams,7.859,5.937,7.45
0_cams,7.067,5.943,7.458
0_cams,7.673,5.943,7.458
0_cams,8.219,5.939,7.453
0_cams,6.206,5.939,7.453
0_cams,7.37,5.94,7.455
0_cams,6.022,5.94,7.455
0_cams,7.056,5.942,7.457
0_cams,6.721,5.943,7.457
0_cams,6.304,5.938,7.451
0_cams,8.169,5.938,7.451
0_cams,7.363,5.944,7.459
0_cams,8.599,5.944,7.459
0_cams,8.022,5.95,7.467
0_cams,7.312,5.95,7.467
0_cams,6.818,5.946,7.462
0_cams,6.522,5.946,7.462
0_cams,6.606,5.947,7.462
0_cams,7.439,5.941,7.455
0_cams,7.136,5.949,7.465
0_cams,8.283,5.951,7.468
0_cams,7.475,5.943,7.458
0_cams,6.474,5.944,7.458
0_cams,7.716,5.949,7.465
0_cams,11.486,5.949,7.465
0_cams,7.739,5.951,7.467
0_cams,8.228,5.951,7.467
0_cams,7.572,5.953,7.47
1_cams,16.625,6.13,7.693
1_cams,16.148,6.131,7.693
1_cams,15.264,6.121,7.682
1_cams,19.607,6.12,7.68
1_cams,22.976,6.124,7.685
1_cams,21.018,6.126,7.688
1_cams,21.127,6.118,7.678
1_cams,21.831,6.12,7.68
1_cams,21.479,6.123,7.683
1_cams,20.955,6.122,7.683
1_cams,21.943,6.124,7.685
1_cams,22.099,6.124,7.685
1_cams,23.004,6.12,7.68
1_cams,21.547,6.12,7.68
1_cams,21.698,6.121,7.681
1_cams,20.785,6.12,7.68
1_cams,20.865,6.125,7.687
1_cams,18.218,6.124,7.685
1_cams,17.916,6.128,7.69
1_cams,18.876,6.126,7.687
1_cams,18.983,6.129,7.691
1_cams,17.843,6.123,7.684
1_cams,18.841,6.122,7.682
1_cams,17.825,6.122,7.683
1_cams,18.492,6.131,7.694
1_cams,18.791,6.131,7.694
1_cams,21.396,6.142,7.708
1_cams,17.916,6.142,7.708
1_cams,20.976,6.137,7.701
1_cams,21.116,6.135,7.699
1_cams,21.634,6.14,7.704
1_cams,17.505,6.139,7.703
1_cams,19.456,6.145,7.711
1_cams,17.538,6.145,7.712
1_cams,18.942,6.158,7.728
1_cams,18.425,6.148,7.714
1_cams,16.414,6.148,7.715
1_cams,14.796,6.149,7.716
1_cams,15.4,6.156,7.725
1_cams,15.871,6.154,7.723
1_cams,15.28,6.147,7.714
1_cams,16.332,6.147,7.714
1_cams,17.027,6.149,7.716
1_cams,17.825,6.148,7.715
1_cams,17.647,6.15,7.717
1_cams,19.074,6.151,7.719
1_cams,19.728,6.151,7.719
1_cams,20.393,6.157,7.726
1_cams,19.366,6.156,7.725
1_cams,19.335,6.162,7.733
1_cams,14.919,6.161,7.732
1_cams,16.189,6.175,7.749
1_cams,16.339,6.174,7.748
1_cams,16.097,6.168,7.741
1_cams,19.225,6.165,7.737
1_cams,21.296,6.164,7.735
1_cams,21.77,6.158,7.727
1_cams,23.992,6.151,7.719
1_cams,24.372,6.151,7.719
1_cams,23.97,6.148,7.715
1_cams,23.491,6.148,7.714
1_cams,21.49,6.141,7.706
1_cams,20.101,6.141,7.707
1_cams,17.792,6.134,7.698
1_cams,15.435,6.135,7.698
1_cams,16.675,6.14,7.705
1_cams,14.731,6.14,7.705
1_cams,15.203,6.137,7.702
1_cams,14.062,6.136,7.7
1_cams,14.343,6.132,7.695
1_cams,16.044,6.133,7.697
1_cams,15.512,6.137,7.701
1_cams,13.833,6.129,7.691
1_cams,13.689,6.134,7.697
1_cams,14.832,6.132,7.695
1_cams,15.272,6.132,7.694
1_cams,15.35,6.132,7.695
1_cams,18.319,6.136,7.7
1_cams,15.529,6.136,7.7
1_cams,19.009,6.152,7.72
1_cams,16.524,6.157,7.726
1_cams,16.129,6.158,7.728
1_cams,17.38,6.152,7.721
1_cams,16.222,6.152,7.72
1_cams,15.377,6.147,7.714
1_cams,15.819,6.146,7.713
1_cams,16.314,6.146,7.712
1_cams,16.398,6.15,7.717
1_cams,17.052,6.149,7.716
1_cams,16.809,6.155,7.724
1_cams,16.213,6.155,7.724
1_cams,15.358,6.162,7.732
1_cams,17.88,6.162,7.733
1_cams,16.431,6.158,7.727
1_cams,14.48,6.157,7.726
1_cams,15.98,6.159,7.729
1_cams,16.792,6.158,7.727
1_cams,15.845,6.162,7.732
1_cams,17.834,6.161,7.731
1_cams,20.625,6.164,7.735
1_cams,20.221,6.163,7.734
1_cams,16.909,6.162,7.733
1_cams,15.699,6.162,7.733
1_cams,16.625,6.162,7.732
1_cams,17.94,6.168,7.74
1_cams,15.803,6.167,7.739
1_cams,19.598,6.173,7.747
1_cams,18.539,6.173,7.746
1_cams,16.516,6.173,7.746
1_cams,15.156,6.169,7.742
1_cams,15.133,6.154,7.723
1_cams,15.482,6.154,7.723
1_cams,15.885,6.154,7.722
1_cams,14.962,6.153,7.721
