group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
0_cams,cpu_pct,300,5.268,6.015,6.705,7.616,8.691,11.199,12.582,6.927,1.127
0_cams,ram_pct,300,5.922,5.939,5.946,5.953,5.988,6.005,6.012,5.949,0.017
1_cams,cpu_pct,300,12.04,15.424,16.675,18.701,21.637,23.496,24.372,17.21,2.391
1_cams,ram_pct,300,6.118,6.147,6.156,6.164,6.19,6.203,6.206,6.155,0.018
2_cams,cpu_pct,300,17.985,21.066,22.636,25.33,30.272,31.125,32.965,23.426,3.174
2_cams,ram_pct,300,6.289,6.339,6.467,6.487,6.563,6.587,6.709,6.434,0.084
3_cams,cpu_pct,300,24.436,28.785,30.568,33.79,39.535,41.399,43.194,31.361,3.962
3_cams,ram_pct,300,6.573,6.614,6.627,6.646,6.713,6.764,6.773,6.633,0.034
4_cams,cpu_pct,300,30.518,36.24,39.421,43.19,51.528,54.402,56.369,40.266,5.692
4_cams,ram_pct,300,6.75,6.852,6.897,6.95,7.06,7.087,7.289,6.907,0.07
