campaign,scenario,fps_nominal,duration_s,frames_expected,frames_delivered,drop_rate_pct,output_fps,stream_format,cpu_pct_median
1,docker_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,71.7
1,docker_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,72.5
1,docker_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,95.4
1,docker_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,86.9
1,docker_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,85.7
1,docker_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,85.6
1,docker_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,93.1
1,docker_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,93.4
1,docker_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,93.1
1,docker_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,92.1
1,docker_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,91.8
1,docker_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,92.1
1,local_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,65.7
1,local_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,68.1
1,local_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,93.1
1,local_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,85.7
1,local_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,83.9
1,local_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,83.6
1,local_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,92.0
1,local_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,92.3
1,local_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,91.5
1,local_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,90.2
1,local_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,90.1
1,local_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,90.5
1,k8s_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,67.8
1,k8s_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,65.9
1,k8s_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,93.5
1,k8s_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,85.7
1,k8s_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,84.4
1,k8s_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,84.3
1,k8s_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,91.4
1,k8s_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,92.0
1,k8s_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,91.6
1,k8s_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,88.6
1,k8s_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,88.7
1,k8s_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,89.2
2,docker_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,66.6
2,docker_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,68.2
2,docker_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,94.4
2,docker_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,84.9
2,docker_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,84.9
2,docker_1080p50,50,60,3000,3000,0.0000,50.000,1920x1080@50,83.7
2,docker_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,92.4
2,docker_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,92.4
2,docker_2160p25,25,60,1500,1500,0.0000,25.000,3840x2160@25,92.3
2,docker_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,91.0
2,docker_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,90.8
2,docker_2160p50,50,60,3000,3000,0.0000,50.000,3840x2160@50,91.5
2,local_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,67.1
2,local_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,67.4
2,local_1080p25,25,60,1500,1500,0.0000,25.000,1920x1080@25,94.1
