scenario,fps_nominal,window_s,frames_total,frames_unique,duplicate_frames,duplicate_pct,unique_fps
docker_1080p25,25,10,250,167,83,33.2000,16.700
docker_1080p25,25,10,250,221,29,11.6000,22.100
docker_1080p25,25,10,250,230,20,8.0000,23.000
docker_1080p50,50,10,500,16,484,96.8000,1.600
docker_1080p50,50,10,500,15,485,97.0000,1.500
docker_1080p50,50,10,500,15,485,97.0000,1.500
docker_2160p25,25,10,250,11,239,95.6000,1.100
docker_2160p25,25,10,250,11,239,95.6000,1.100
docker_2160p25,25,10,250,11,239,95.6000,1.100
docker_2160p50,50,10,500,6,494,98.8000,0.600
docker_2160p50,50,10,500,7,493,98.6000,0.700
docker_2160p50,50,10,500,7,493,98.6000,0.700
local_1080p25,25,10,250,17,233,93.2000,1.700
local_1080p25,25,10,250,16,234,93.6000,1.600
local_1080p25,25,10,250,16,234,93.6000,1.600
local_1080p50,50,10,500,15,485,97.0000,1.500
local_1080p50,50,10,500,14,486,97.2000,1.400
local_1080p50,50,10,500,13,487,97.4000,1.300
local_2160p25,25,10,250,11,239,95.6000,1.100
local_2160p25,25,10,250,11,239,95.6000,1.100
local_2160p25,25,10,250,12,238,95.2000,1.200
local_2160p50,50,10,500,6,494,98.8000,0.600
local_2160p50,50,10,500,7,493,98.6000,0.700
local_2160p50,50,10,500,7,493,98.6000,0.700
k8s_1080p25,25,10,250,208,42,16.8000,20.800
k8s_1080p25,25,10,250,232,18,7.2000,23.200
k8s_1080p25,25,10,250,220,30,12.0000,22.000
k8s_1080p50,50,10,500,15,485,97.0000,1.500
k8s_1080p50,50,10,500,14,486,97.2000,1.400
k8s_1080p50,50,10,500,15,485,97.0000,1.500
k8s_2160p25,25,10,250,11,239,95.6000,1.100
k8s_2160p25,25,10,250,11,239,95.6000,1.100
k8s_2160p25,25,10,250,11,239,95.6000,1.100
k8s_2160p50,50,10,500,7,493,98.6000,0.700
k8s_2160p50,50,10,500,7,493,98.6000,0.700
k8s_2160p50,50,10,500,7,493,98.6000,0.700
timeline_local_1080p25_t40s,25,8,200,200,0,0.0000,25.000
timeline_local_1080p25_t100s,25,8,200,200,0,0.0000,25.000
timeline_local_1080p25_t160s,25,8,200,199,1,0.5000,24.875
timeline_local_1080p25_t220s,25,8,200,12,188,94.0000,1.500
timeline_local_1080p25_t280s,25,8,200,172,28,14.0000,21.500
timeline_local_1080p25_t340s,25,8,200,165,35,17.5000,20.625
