group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1186,0.0,35.9,45.4,67.975,94.3,97.1,98.0,52.826,21.866
ALL,ram_pct,1186,0.0,8.3,9.2,10.0,10.7,10.7,10.8,9.104,1.308
0_cams,cpu_pct,235,0.0,28.4,29.8,31.0,33.13,34.796,41.2,29.141,5.159
0_cams,ram_pct,235,0.0,7.4,7.4,7.5,7.5,7.5,7.9,7.235,1.175
1_cams,cpu_pct,227,32.1,35.8,36.8,37.65,39.3,40.0,40.3,36.756,1.422
1_cams,ram_pct,227,7.9,8.3,8.4,8.5,8.5,8.5,8.6,8.367,0.113
2_cams,cpu_pct,246,36.1,43.725,45.3,47.2,52.975,61.59,62.6,45.859,3.779
2_cams,ram_pct,246,8.6,9.2,9.2,9.3,9.4,9.4,9.4,9.236,0.106
3_cams,cpu_pct,234,46.4,57.2,60.95,67.975,79.58,85.469,87.5,63.012,8.165
3_cams,ram_pct,234,9.4,9.9,10.0,10.0,10.0,10.1,10.1,9.955,0.076
4_cams,cpu_pct,244,60.6,84.1,89.1,94.15,97.085,97.5,98.0,87.844,7.848
4_cams,ram_pct,244,10.0,10.6,10.7,10.7,10.7,10.7,10.8,10.641,0.077
