timestamp,elapsed_s,cpu_pct,ram_pct,ram_available_mb,n_cameras_active,cam1,cam2,cam3,cam4,composite
2026-07-26 20:16:54,0,0.0,0.0,0,0,0,0,0,0,unknown
2026-07-26 20:16:56,2,0.0,0.0,0,0,0,0,0,0,unknown
2026-07-26 20:16:56,2,0.0,0.0,0,0,0,0,0,0,unknown
2026-07-26 20:16:56,2,0.0,0.0,0,0,0,0,0,0,full_screen
2026-07-26 20:16:56,2,0.0,0.0,0,0,0,0,0,0,full_screen
2026-07-26 20:16:56,2,0.0,0.0,0,0,0,0,0,0,full_screen
2026-07-26 20:16:58,4,0.0,0.0,0,4,1,1,1,1,full_screen
2026-07-26 20:16:59,5,39.2,8.2,117949,4,1,1,1,1,full_screen
2026-07-26 20:17:04,10,74.8,8.3,117833,4,1,1,1,1,full_screen
2026-07-26 20:17:09,15,81.9,8.2,117967,4,1,1,1,1,full_screen
2026-07-26 20:17:14,20,79.2,8.3,117858,4,1,1,1,1,full_screen
2026-07-26 20:17:19,25,84.9,8.3,117892,4,1,1,1,1,full_screen
2026-07-26 20:17:24,30,82.7,8.3,117895,4,1,1,1,1,full_screen
2026-07-26 20:17:29,35,82.4,8.3,117808,4,1,1,1,1,full_screen
2026-07-26 20:17:34,40,82.7,8.3,117856,4,1,1,1,1,full_screen
2026-07-26 20:17:36,42,82.7,8.3,117856,4,1,1,1,1,full_screen
2026-07-26 20:17:37,43,82.7,8.3,117856,4,1,1,1,1,full_screen
2026-07-26 20:17:39,45,84.1,8.4,117726,4,1,1,1,1,full_screen
2026-07-26 20:17:44,50,80.5,8.4,117668,4,1,1,1,1,full_screen
2026-07-26 20:17:49,55,78.4,8.4,117700,4,1,1,1,1,full_screen
2026-07-26 20:17:54,60,83.5,8.4,117736,4,1,1,1,1,full_screen
2026-07-26 20:17:59,65,83.8,8.4,117743,4,1,1,1,1,full_screen
2026-07-26 20:18:04,70,83.2,8.4,117714,4,1,1,1,1,full_screen
2026-07-26 20:18:09,75,82.6,8.4,117687,4,1,1,1,1,full_screen
2026-07-26 20:18:14,80,83.9,8.5,117604,4,1,1,1,1,full_screen
2026-07-26 20:18:19,85,82.3,8.2,117899,4,1,1,1,1,full_screen
2026-07-26 20:18:19,85,82.3,8.2,117899,4,1,1,1,1,full_screen
2026-07-26 20:18:20,86,82.3,8.2,117899,4,1,1,1,1,full_screen
2026-07-26 20:18:24,90,80.4,8.4,117647,4,1,1,1,1,full_screen
2026-07-26 20:18:29,95,83.6,8.4,117701,4,1,1,1,1,full_screen
2026-07-26 20:18:34,100,79.7,8.5,117601,4,1,1,1,1,full_screen
2026-07-26 20:18:39,105,78.4,8.4,117666,4,1,1,1,1,full_screen
2026-07-26 20:18:41,107,78.4,8.4,117666,4,1,1,1,1,full_screen
2026-07-26 20:18:42,108,78.4,8.4,117666,4,1,1,1,1,full_screen
2026-07-26 20:18:44,110,77.9,8.4,117658,4,1,1,1,1,full_screen
2026-07-26 20:18:49,115,82.4,8.4,117653,4,1,1,1,1,full_screen
2026-07-26 20:18:54,120,80.2,8.5,117621,4,1,1,1,1,full_screen
2026-07-26 20:18:59,125,80.6,8.5,117555,4,1,1,1,1,full_screen
2026-07-26 20:19:02,128,80.6,8.5,117555,4,1,1,1,1,full_screen
2026-07-26 20:19:03,129,80.6,8.5,117555,4,1,1,1,1,full_screen
2026-07-26 20:19:04,130,82.2,8.5,117610,4,1,1,1,1,full_screen
2026-07-26 20:19:09,135,82.7,8.4,117644,4,1,1,1,1,full_screen
2026-07-26 20:19:14,140,83.9,8.5,117617,4,1,1,1,1,full_screen
2026-07-26 20:19:19,145,82.5,8.5,117604,4,1,1,1,1,full_screen
2026-07-26 20:19:23,149,82.5,8.5,117604,4,1,1,1,1,full_screen
2026-07-26 20:19:24,150,84.0,8.4,117728,4,1,1,1,1,full_screen
2026-07-26 20:19:25,151,84.0,8.4,117728,4,1,1,1,1,full_screen
2026-07-26 20:19:29,155,84.5,8.5,117577,4,1,1,1,1,full_screen
2026-07-26 20:19:34,160,86.3,8.5,117555,4,1,1,1,1,full_screen
2026-07-26 20:19:39,165,81.8,8.5,117566,4,1,1,1,1,full_screen
2026-07-26 20:19:44,170,80.7,8.5,117582,4,1,1,1,1,full_screen
2026-07-26 20:19:44,170,80.7,8.5,117582,4,1,1,1,1,full_screen
2026-07-26 20:19:45,171,80.7,8.5,117582,4,1,1,1,1,full_screen
2026-07-26 20:19:49,175,81.1,8.5,117539,4,1,1,1,1,full_screen
2026-07-26 20:19:54,180,80.5,8.5,117544,4,1,1,1,1,full_screen
2026-07-26 20:19:59,185,77.6,8.6,117472,4,1,1,1,1,full_screen
2026-07-26 20:20:04,190,75.8,8.6,117485,4,1,1,1,1,full_screen
2026-07-26 20:20:06,192,75.8,8.6,117485,4,1,1,1,1,full_screen
2026-07-26 20:20:07,193,75.8,8.6,117485,4,1,1,1,1,full_screen
