group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1034,0.0,59.6,82.1,93.6,98.4,98.8,98.9,77.526,16.721
ALL,ram_pct,1034,0.0,11.7,14.05,15.7,16.4,16.5,16.6,13.507,2.554
0_cams,cpu_pct,7,0.0,0.0,0.0,0.0,25.9,34.78,37.0,5.286,13.985
0_cams,ram_pct,7,0.0,0.0,0.0,0.0,5.18,6.956,7.4,1.057,2.797
1_cams,cpu_pct,254,37.0,55.3,56.4,57.4,59.0,59.694,60.7,56.346,1.942
1_cams,ram_pct,254,7.4,9.3,10.5,10.975,11.5,11.7,11.8,10.167,1.02
2_cams,cpu_pct,255,58.8,69.25,71.0,72.1,93.08,94.446,94.8,71.941,5.911
2_cams,ram_pct,255,11.7,12.7,13.0,13.4,13.8,13.8,13.9,13.04,0.436
3_cams,cpu_pct,256,72.2,84.5,86.1,88.5,97.7,97.845,97.9,87.584,4.958
3_cams,ram_pct,256,13.9,14.7,14.9,15.1,15.225,15.3,15.3,14.877,0.272
4_cams,cpu_pct,262,84.1,93.625,94.9,98.1,98.7,98.839,98.9,95.599,2.517
4_cams,ram_pct,262,15.3,16.1,16.3,16.3,16.5,16.6,16.6,16.194,0.219
