iteration,from,to,latency_ms,status
1,fs,sbs,285.8,ok
2,sbs,fs,256.0,ok
3,fs,sbs,256.6,ok
4,sbs,fs,257.2,ok
5,fs,sbs,260.4,ok
6,sbs,fs,254.9,ok
7,fs,sbs,255.8,ok
8,sbs,fs,257.9,ok
9,fs,sbs,254.1,ok
10,sbs,fs,260.9,ok
11,fs,sbs,261.4,ok
12,sbs,fs,247.7,ok
13,fs,sbs,256.3,ok
14,sbs,fs,257.5,ok
15,fs,sbs,261.3,ok
16,sbs,fs,252.3,ok
17,fs,sbs,257.8,ok
18,sbs,fs,255.4,ok
19,fs,sbs,256.8,ok
20,sbs,fs,257.9,ok
21,fs,sbs,256.7,ok
22,sbs,fs,258.3,ok
23,fs,sbs,254.8,ok
24,sbs,fs,256.4,ok
25,fs,sbs,260.2,ok
26,sbs,fs,254.4,ok
27,fs,sbs,261.7,ok
28,sbs,fs,251.1,ok
29,fs,sbs,257.7,ok
30,sbs,fs,257.0,ok
31,fs,sbs,260.0,ok
32,sbs,fs,254.0,ok
33,fs,sbs,255.5,ok
34,sbs,fs,256.4,ok
35,fs,sbs,258.8,ok
36,sbs,fs,259.4,ok
37,fs,sbs,255.0,ok
38,sbs,fs,254.4,ok
39,fs,sbs,256.8,ok
40,sbs,fs,259.1,ok
41,fs,sbs,254.3,ok
42,sbs,fs,256.4,ok
43,fs,sbs,258.9,ok
44,sbs,fs,260.9,ok
45,fs,sbs,253.1,ok
46,sbs,fs,256.3,ok
47,fs,sbs,253.4,ok
48,sbs,fs,259.6,ok
49,fs,sbs,258.3,ok
50,sbs,fs,253.1,ok
51,fs,sbs,260.9,ok
52,sbs,fs,255.3,ok
53,fs,sbs,260.8,ok
54,sbs,fs,252.4,ok
55,fs,sbs,257.9,ok
56,sbs,fs,255.7,ok
57,fs,sbs,256.4,ok
58,sbs,fs,298.6,ok
59,fs,sbs,253.4,ok
60,sbs,fs,259.0,ok
61,fs,sbs,256.9,ok
62,sbs,fs,253.4,ok
63,fs,sbs,263.5,ok
64,sbs,fs,247.7,ok
65,fs,sbs,259.5,ok
66,sbs,fs,257.6,ok
67,fs,sbs,256.3,ok
68,sbs,fs,257.5,ok
69,fs,sbs,256.3,ok
70,sbs,fs,257.8,ok
71,fs,sbs,257.6,ok
72,sbs,fs,257.2,ok
73,fs,sbs,256.9,ok
74,sbs,fs,254.9,ok
75,fs,sbs,258.1,ok
76,sbs,fs,261.3,ok
77,fs,sbs,251.5,ok
78,sbs,fs,255.1,ok
79,fs,sbs,259.6,ok
80,sbs,fs,255.4,ok
81,fs,sbs,257.2,ok
82,sbs,fs,254.2,ok
83,fs,sbs,260.2,ok
84,sbs,fs,255.0,ok
85,fs,sbs,258.4,ok
86,sbs,fs,256.6,ok
87,fs,sbs,261.3,ok
88,sbs,fs,253.1,ok
89,fs,sbs,255.6,ok
90,sbs,fs,258.0,ok
91,fs,sbs,257.0,ok
92,sbs,fs,257.9,ok
93,fs,sbs,257.3,ok
94,sbs,fs,256.9,ok
95,fs,sbs,255.1,ok
96,sbs,fs,256.7,ok
97,fs,sbs,256.2,ok
98,sbs,fs,258.8,ok
99,fs,sbs,259.5,ok
100,sbs,fs,251.5,ok
