iteration,victim,detect_ms,restore_ms,mttr_ms,status
1,cam1,464.7,1247.8,1712.4,ok
2,cam2,75.9,2194.1,2269.9,ok
3,cam3,79.1,109.8,188.9,ok
4,cam4,65.4,2158.6,2224.0,ok
5,cam1,468.4,1246.2,1714.7,ok
6,cam2,87.3,2390.6,2477.9,ok
7,cam3,58.4,1378.8,1437.2,ok
8,cam4,43.4,1997.9,2041.3,ok
9,cam1,72.9,1480.9,1553.8,ok
10,cam2,76.1,2397.0,2473.1,ok
11,cam3,88.2,1352.9,1441.2,ok
12,cam4,71.4,240.6,312.0,ok
13,cam1,478.3,1120.7,1599.0,ok
14,cam2,71.7,247.7,319.4,ok
15,cam3,37.0,1357.3,1394.3,ok
16,cam4,64.9,2040.0,2105.0,ok
17,cam1,72.2,1603.9,1676.1,ok
18,cam2,54.5,24.6,79.1,ok
19,cam3,74.2,1361.7,1436.0,ok
20,cam4,82.5,1951.8,2034.3,ok
21,cam1,79.5,1561.3,1640.8,ok
22,cam2,70.4,2278.4,2348.8,ok
23,cam3,75.4,1320.2,1395.6,ok
24,cam4,69.7,1960.3,2030.0,ok
25,cam1,76.3,1567.7,1644.0,ok
26,cam2,74.3,2319.1,2393.4,ok
27,cam3,74.4,1322.5,1396.9,ok
28,cam4,72.1,1919.7,1991.9,ok
29,cam1,76.5,1517.3,1593.8,ok
30,cam2,70.2,2522.5,2592.7,ok
31,cam3,81.5,1440.2,1521.7,ok
32,cam4,40.6,2035.0,2075.5,ok
33,cam1,82.0,1517.2,1599.1,ok
34,cam2,82.2,2241.2,2323.4,ok
35,cam3,79.1,1315.4,1394.5,ok
36,cam4,36.0,2043.2,2079.2,ok
37,cam1,73.3,1477.0,1550.3,ok
38,cam2,434.2,1878.5,2312.7,ok
39,cam3,74.4,1239.7,1314.1,ok
40,cam4,105.0,1916.7,2021.8,ok
41,cam1,26.3,1521.4,1547.8,ok
42,cam2,82.6,2315.3,2397.8,ok
43,cam3,77.1,1360.6,1437.6,ok
44,cam4,36.2,2121.2,2157.4,ok
45,cam1,37.0,1688.1,1725.0,ok
46,cam2,86.0,149.9,236.0,ok
47,cam3,60.8,1236.6,1297.4,ok
48,cam4,76.7,1917.4,1994.1,ok
49,cam1,74.6,1443.9,1518.5,ok
50,cam2,76.4,2314.4,2390.8,ok
51,cam3,38.5,1314.7,1353.3,ok
52,cam4,77.0,1960.0,2037.0,ok
53,cam1,79.4,1478.1,1557.5,ok
54,cam2,73.5,2322.1,2395.5,ok
55,cam3,74.0,1315.6,1389.6,ok
56,cam4,69.0,2111.5,2180.5,ok
57,cam1,51.4,1673.0,1724.4,ok
58,cam2,51.2,2464.5,2515.7,ok
59,cam3,40.5,194.8,235.2,ok
60,cam4,473.1,1516.6,1989.7,ok
61,cam1,440.2,1120.5,1560.7,ok
62,cam2,443.0,1761.9,2204.9,ok
63,cam3,435.3,917.4,1352.7,ok
64,cam4,79.4,1999.3,2078.7,ok
65,cam1,475.2,1119.2,1594.4,ok
66,cam2,75.2,80.7,155.9,ok
67,cam3,70.5,123.5,194.0,ok
68,cam4,64.3,2186.7,2251.0,ok
69,cam1,67.4,277.8,345.2,ok
70,cam2,58.5,2236.4,2294.9,ok
71,cam3,78.3,1272.3,1350.6,ok
72,cam4,430.8,1601.1,2032.0,ok
73,cam1,432.5,1162.8,1595.3,ok
74,cam2,41.5,2240.3,2281.8,ok
75,cam3,68.3,1285.9,1354.2,ok
76,cam4,76.5,1920.9,1997.4,ok
77,cam1,80.5,1556.3,1636.8,ok
78,cam2,79.3,2120.3,2199.6,ok
79,cam3,79.3,1309.1,1388.4,ok
80,cam4,89.2,2066.7,2155.8,ok
81,cam1,79.9,1595.5,1675.4,ok
82,cam2,80.3,2474.6,2554.8,ok
83,cam3,73.6,158.1,231.6,ok
84,cam4,475.2,1520.5,1995.7,ok
85,cam1,474.3,1081.1,1555.5,ok
86,cam2,428.9,1845.6,2274.5,ok
87,cam3,472.1,924.0,1396.1,ok
88,cam4,78.4,1962.7,2041.1,ok
89,cam1,81.0,1475.3,1556.2,ok
90,cam2,73.7,2281.7,2355.4,ok
91,cam3,80.4,1310.0,1390.5,ok
92,cam4,69.4,2038.6,2108.0,ok
93,cam1,66.9,1521.5,1588.4,ok
94,cam2,81.5,192.2,273.8,ok
95,cam3,71.5,1364.2,1435.7,ok
96,cam4,92.6,2028.9,2121.5,ok
97,cam1,73.5,1477.3,1550.9,ok
98,cam2,80.5,2161.1,2241.6,ok
99,cam3,79.0,1319.9,1398.9,ok
100,cam4,78.9,1992.3,2071.2,ok
