group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,23.4,33.7,39.2,58.15,87.45,95.905,97.1,46.969,20.274
ALL,ram_pct,896,7.0,7.7,8.3,9.0,9.7,9.7,9.8,8.334,0.939
0_cams,cpu_pct,180,23.4,24.4,24.9,25.2,25.7,25.9,42.8,24.913,1.444
0_cams,ram_pct,180,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0
1_cams,cpu_pct,179,32.3,33.7,34.3,35.1,36.5,37.244,37.5,34.486,1.091
1_cams,ram_pct,179,7.6,7.7,7.7,7.7,7.7,7.7,7.7,7.687,0.034
2_cams,cpu_pct,179,35.7,38.4,39.2,40.85,44.6,55.554,56.4,40.128,3.362
2_cams,ram_pct,179,8.2,8.3,8.3,8.4,8.4,8.4,8.4,8.345,0.058
3_cams,cpu_pct,179,42.7,49.9,53.5,59.55,65.56,72.122,72.3,54.712,6.603
3_cams,ram_pct,179,8.9,9.0,9.0,9.0,9.0,9.0,9.0,8.982,0.038
4_cams,cpu_pct,179,53.4,76.3,81.5,87.5,95.91,96.822,97.1,80.73,10.309
4_cams,ram_pct,179,9.5,9.6,9.7,9.7,9.7,9.722,9.8,9.665,0.056
