iteration,victim,detect_ms,restore_ms,mttr_ms,status
1,cam1,2357.1,999.3,3356.4,ok
2,cam2,1037.7,999.5,2037.2,ok
3,cam3,996.9,1040.7,2037.6,ok
4,cam4,1598.3,998.8,2597.1,ok
5,cam1,997.4,999.7,1997.2,ok
6,cam2,1077.5,998.9,2076.4,ok
7,cam3,2236.2,999.9,3236.1,ok
8,cam4,1156.9,999.2,2156.1,ok
9,cam1,1154.8,1000.7,2155.6,ok
10,cam2,1839.4,998.1,2837.5,ok
11,cam3,1117.5,1000.6,2118.1,ok
12,cam4,1038.0,999.4,2037.4,ok
13,cam1,1837.9,999.7,2837.6,ok
14,cam2,1038.0,1039.9,2077.9,ok
15,cam3,957.3,999.8,1957.1,ok
16,cam4,1954.8,999.9,2954.7,ok
17,cam1,1037.4,1000.4,2037.8,ok
18,cam2,1400.1,997.1,2397.1,ok
19,cam3,1596.1,1000.1,2596.1,ok
20,cam4,1159.2,998.4,2157.6,ok
21,cam1,1036.8,1000.2,2037.0,ok
22,cam2,1837.8,999.3,2837.0,ok
23,cam3,1037.3,1000.3,2037.6,ok
24,cam4,1038.9,1039.5,2078.4,ok
25,cam1,1797.8,1039.3,2837.1,ok
26,cam2,998.4,1040.5,2039.0,ok
27,cam3,995.2,999.9,1995.1,ok
28,cam4,1078.6,999.9,2078.5,ok
29,cam1,1037.6,999.6,2037.2,ok
30,cam2,1078.5,998.7,2077.2,ok
31,cam3,2717.0,720.0,3437.0,ok
32,cam4,1037.8,1000.2,2038.0,ok
33,cam1,1076.6,1003.1,2079.6,ok
34,cam2,1437.4,998.6,2436.0,ok
35,cam3,957.0,1000.8,1957.8,ok
36,cam4,1035.2,999.8,2035.0,ok
37,cam1,1436.5,999.8,2436.3,ok
38,cam2,1038.0,1039.8,2077.7,ok
39,cam3,957.3,1042.1,1999.4,ok
40,cam4,1516.0,999.1,2515.1,ok
41,cam1,1117.4,999.9,2117.2,ok
42,cam2,1038.4,1038.7,2077.1,ok
43,cam3,1797.2,1040.0,2837.2,ok
44,cam4,999.2,1037.2,2036.4,ok
45,cam1,1037.0,1000.2,2037.1,ok
46,cam2,1960.2,996.9,2957.1,ok
47,cam3,953.0,1040.1,1993.1,ok
48,cam4,1077.0,1039.2,2116.1,ok
49,cam1,1917.5,1039.3,2956.8,ok
50,cam2,998.2,1039.6,2037.8,ok
51,cam3,995.1,1000.3,1995.4,ok
52,cam4,1958.3,996.6,2954.9,ok
53,cam1,997.1,1040.5,2037.6,ok
54,cam2,1116.2,999.8,2116.0,ok
55,cam3,1877.8,999.4,2877.2,ok
56,cam4,1077.1,1040.9,2118.1,ok
57,cam1,996.4,1040.1,2036.4,ok
58,cam2,1918.8,998.5,2917.3,ok
59,cam3,952.9,1040.3,1993.2,ok
60,cam4,998.1,999.1,1997.2,ok
61,cam1,1997.3,999.7,2997.0,ok
62,cam2,1159.7,998.6,2158.3,ok
63,cam3,1076.2,1000.3,2076.5,ok
64,cam4,1797.7,999.2,2796.9,ok
65,cam1,1116.9,1000.6,2117.5,ok
66,cam2,1039.2,998.1,2037.3,ok
67,cam3,1877.8,1039.3,2917.1,ok
68,cam4,1037.7,1039.3,2077.0,ok
69,cam1,1277.3,1000.2,2277.5,ok
70,cam2,1637.7,999.0,2636.7,ok
71,cam3,997.0,1001.2,1998.2,ok
72,cam4,996.8,999.5,1996.3,ok
73,cam1,2037.3,999.8,3037.1,ok
74,cam2,1037.0,999.7,2036.7,ok
75,cam3,997.2,1001.0,1998.2,ok
76,cam4,1557.9,1039.2,2597.1,ok
77,cam1,1037.0,999.4,2036.4,ok
78,cam2,1036.9,1000.3,2037.1,ok
79,cam3,1315.9,1001.9,2317.8,ok
80,cam4,1037.4,1001.0,2038.4,ok
81,cam1,1157.5,999.8,2157.3,ok
82,cam2,2916.2,1599.8,4516.0,ok
83,cam3,1037.1,1040.8,2077.9,ok
84,cam4,1079.3,998.7,2077.9,ok
85,cam1,1276.5,999.6,2276.0,ok
86,cam2,1077.8,1000.0,2077.8,ok
87,cam3,996.5,999.6,1996.1,ok
88,cam4,1875.4,1039.7,2915.2,ok
89,cam1,1035.2,1040.0,2075.2,ok
90,cam2,1117.9,999.6,2117.5,ok
91,cam3,1837.6,999.7,2837.3,ok
92,cam4,996.6,999.5,1996.2,ok
93,cam1,1035.8,1000.6,2036.4,ok
94,cam2,2038.2,998.1,3036.3,ok
95,cam3,958.6,999.5,1958.1,ok
96,cam4,996.7,1039.9,2036.6,ok
97,cam1,1797.1,1000.2,2797.3,ok
98,cam2,1117.7,1039.1,2156.9,ok
99,cam3,1037.1,1040.2,2077.3,ok
100,cam4,2001.1,1037.0,3038.1,ok
