group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,52.4,57.3,67.5,79.2,95.0,95.7,96.0,69.601,13.709
ALL,ram_pct,896,8.9,10.0,10.8,11.5,12.3,12.4,12.6,10.691,1.151
0_cams,cpu_pct,180,52.4,53.2,53.4,53.8,54.0,54.321,63.5,53.485,0.845
0_cams,ram_pct,180,8.9,8.9,9.0,9.0,9.0,9.021,9.1,8.968,0.049
1_cams,cpu_pct,179,56.5,57.3,57.7,58.1,59.11,60.944,61.9,57.85,0.822
1_cams,ram_pct,179,9.9,10.0,10.0,10.0,10.1,10.1,10.1,9.991,0.059
2_cams,cpu_pct,179,65.4,66.7,67.5,68.5,69.71,70.944,71.5,67.68,1.268
2_cams,ram_pct,179,10.6,10.7,10.8,10.8,10.9,10.9,10.9,10.763,0.069
3_cams,cpu_pct,179,74.4,77.75,78.4,79.2,93.31,94.022,94.2,79.217,3.758
3_cams,ram_pct,179,11.3,11.4,11.5,11.5,11.6,11.7,11.7,11.471,0.09
4_cams,cpu_pct,179,83.4,86.5,87.8,95.0,95.7,95.9,96.0,89.864,4.09
4_cams,ram_pct,179,12.0,12.2,12.3,12.3,12.4,12.5,12.6,12.274,0.106
