iteration,from,to,latency_ms,status
1,cam1,cam2,336.2,ok
2,cam2,cam3,295.8,ok
3,cam3,cam4,313.8,ok
4,cam4,cam1,378.4,ok
5,cam1,cam2,114.0,ok
6,cam2,cam3,157.0,ok
7,cam3,cam4,356.2,ok
8,cam4,cam1,455.0,ok
9,cam1,cam2,136.7,ok
10,cam2,cam3,135.7,ok
11,cam3,cam4,297.7,ok
12,cam4,cam1,112.8,ok
13,cam1,cam2,115.0,ok
14,cam2,cam3,298.9,ok
15,cam3,cam4,112.4,ok
16,cam4,cam1,112.1,ok
17,cam1,cam2,117.7,ok
18,cam2,cam3,114.6,ok
19,cam3,cam4,112.9,ok
20,cam4,cam1,256.3,ok
21,cam1,cam2,114.4,ok
22,cam2,cam3,115.3,ok
23,cam3,cam4,177.1,ok
24,cam4,cam1,114.8,ok
25,cam1,cam2,113.9,ok
26,cam2,cam3,114.5,ok
27,cam3,cam4,114.4,ok
28,cam4,cam1,118.8,ok
29,cam1,cam2,112.5,ok
30,cam2,cam3,117.5,ok
31,cam3,cam4,114.1,ok
32,cam4,cam1,456.3,ok
33,cam1,cam2,151.7,ok
34,cam2,cam3,115.9,ok
35,cam3,cam4,318.8,ok
36,cam4,cam1,492.8,ok
37,cam1,cam2,153.5,ok
38,cam2,cam3,116.2,ok
39,cam3,cam4,234.7,ok
40,cam4,cam1,115.1,ok
41,cam1,cam2,116.1,ok
42,cam2,cam3,116.3,ok
43,cam3,cam4,111.3,ok
44,cam4,cam1,117.6,ok
45,cam1,cam2,115.2,ok
46,cam2,cam3,194.3,ok
47,cam3,cam4,113.4,ok
48,cam4,cam1,315.9,ok
49,cam1,cam2,173.5,ok
50,cam2,cam3,396.3,ok
51,cam3,cam4,113.8,ok
52,cam4,cam1,433.5,ok
53,cam1,cam2,136.0,ok
54,cam2,cam3,335.5,ok
55,cam3,cam4,137.0,ok
56,cam4,cam1,496.3,ok
57,cam1,cam2,134.4,ok
58,cam2,cam3,254.5,ok
59,cam3,cam4,113.6,ok
60,cam4,cam1,116.4,ok
61,cam1,cam2,113.2,ok
62,cam2,cam3,116.1,ok
63,cam3,cam4,114.2,ok
64,cam4,cam1,113.4,ok
65,cam1,cam2,120.3,ok
66,cam2,cam3,112.5,ok
67,cam3,cam4,114.4,ok
68,cam4,cam1,453.9,ok
69,cam1,cam2,115.6,ok
70,cam2,cam3,114.0,ok
71,cam3,cam4,116.8,ok
72,cam4,cam1,112.9,ok
73,cam1,cam2,115.4,ok
74,cam2,cam3,115.7,ok
75,cam3,cam4,116.2,ok
76,cam4,cam1,116.1,ok
77,cam1,cam2,115.0,ok
78,cam2,cam3,114.0,ok
79,cam3,cam4,114.4,ok
80,cam4,cam1,116.3,ok
81,cam1,cam2,114.4,ok
82,cam2,cam3,292.8,ok
83,cam3,cam4,316.8,ok
84,cam4,cam1,116.7,ok
85,cam1,cam2,112.5,ok
86,cam2,cam3,436.0,ok
87,cam3,cam4,413.3,ok
88,cam4,cam1,135.2,ok
89,cam1,cam2,115.1,ok
90,cam2,cam3,313.6,ok
91,cam3,cam4,116.0,ok
92,cam4,cam1,116.0,ok
93,cam1,cam2,116.2,ok
94,cam2,cam3,115.8,ok
95,cam3,cam4,113.9,ok
96,cam4,cam1,120.1,ok
97,cam1,cam2,314.4,ok
98,cam2,cam3,113.5,ok
99,cam3,cam4,199.7,ok
100,cam4,cam1,115.0,ok
