iteration,from,to,latency_ms,status
1,cam1,cam2,301.8,ok
2,cam2,cam3,331.2,ok
3,cam3,cam4,331.8,ok
4,cam4,cam1,293.3,ok
5,cam1,cam2,293.5,ok
6,cam2,cam3,332.8,ok
7,cam3,cam4,293.6,ok
8,cam4,cam1,294.1,ok
9,cam1,cam2,331.9,ok
10,cam2,cam3,331.1,ok
11,cam3,cam4,331.2,ok
12,cam4,cam1,295.3,ok
13,cam1,cam2,332.8,ok
14,cam2,cam3,331.0,ok
15,cam3,cam4,330.5,ok
16,cam4,cam1,331.1,ok
17,cam1,cam2,294.2,ok
18,cam2,cam3,292.4,ok
19,cam3,cam4,332.4,ok
20,cam4,cam1,331.3,ok
21,cam1,cam2,330.6,ok
22,cam2,cam3,331.0,ok
23,cam3,cam4,332.4,ok
24,cam4,cam1,294.1,ok
25,cam1,cam2,331.5,ok
26,cam2,cam3,294.1,ok
27,cam3,cam4,294.4,ok
28,cam4,cam1,332.3,ok
29,cam1,cam2,330.0,ok
30,cam2,cam3,294.6,ok
31,cam3,cam4,332.2,ok
32,cam4,cam1,292.9,ok
33,cam1,cam2,296.1,ok
34,cam2,cam3,292.9,ok
35,cam3,cam4,293.3,ok
36,cam4,cam1,293.2,ok
37,cam1,cam2,330.1,ok
38,cam2,cam3,293.7,ok
39,cam3,cam4,295.2,ok
40,cam4,cam1,294.0,ok
41,cam1,cam2,293.7,ok
42,cam2,cam3,329.3,ok
43,cam3,cam4,331.4,ok
44,cam4,cam1,331.5,ok
45,cam1,cam2,295.5,ok
46,cam2,cam3,332.2,ok
47,cam3,cam4,331.2,ok
48,cam4,cam1,294.3,ok
49,cam1,cam2,330.5,ok
50,cam2,cam3,332.6,ok
51,cam3,cam4,294.0,ok
52,cam4,cam1,330.2,ok
53,cam1,cam2,294.3,ok
54,cam2,cam3,330.8,ok
55,cam3,cam4,331.0,ok
56,cam4,cam1,293.8,ok
57,cam1,cam2,330.8,ok
58,cam2,cam3,331.7,ok
59,cam3,cam4,331.0,ok
60,cam4,cam1,331.3,ok
61,cam1,cam2,295.9,ok
62,cam2,cam3,294.6,ok
63,cam3,cam4,329.4,ok
64,cam4,cam1,332.1,ok
65,cam1,cam2,329.6,ok
66,cam2,cam3,332.7,ok
67,cam3,cam4,331.8,ok
68,cam4,cam1,293.7,ok
69,cam1,cam2,295.4,ok
70,cam2,cam3,330.5,ok
71,cam3,cam4,293.5,ok
72,cam4,cam1,330.0,ok
73,cam1,cam2,328.3,ok
74,cam2,cam3,332.6,ok
75,cam3,cam4,294.2,ok
76,cam4,cam1,293.3,ok
77,cam1,cam2,330.4,ok
78,cam2,cam3,293.9,ok
79,cam3,cam4,292.8,ok
80,cam4,cam1,295.0,ok
81,cam1,cam2,331.6,ok
82,cam2,cam3,294.1,ok
83,cam3,cam4,329.9,ok
84,cam4,cam1,292.8,ok
85,cam1,cam2,294.3,ok
86,cam2,cam3,332.0,ok
87,cam3,cam4,332.3,ok
88,cam4,cam1,331.8,ok
89,cam1,cam2,330.7,ok
90,cam2,cam3,332.8,ok
91,cam3,cam4,329.3,ok
92,cam4,cam1,295.0,ok
93,cam1,cam2,332.2,ok
94,cam2,cam3,331.3,ok
95,cam3,cam4,293.2,ok
96,cam4,cam1,293.6,ok
97,cam1,cam2,332.1,ok
98,cam2,cam3,332.0,ok
99,cam3,cam4,295.5,ok
100,cam4,cam1,293.3,ok
