group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,716,47.6,57.8,74.6,89.2,97.9,98.3,98.9,72.261,17.155
ALL,ram_pct,716,8.3,8.9,9.7,10.475,11.0,11.0,11.1,9.666,0.922
1_cams,cpu_pct,179,47.6,49.3,49.9,50.8,52.11,52.522,52.7,50.087,1.06
1_cams,ram_pct,179,8.3,8.4,8.4,8.5,8.5,8.5,8.6,8.431,0.055
2_cams,cpu_pct,179,59.5,61.9,63.1,64.35,69.63,94.01,95.2,64.542,6.578
2_cams,ram_pct,179,9.0,9.2,9.2,9.3,9.4,9.4,9.5,9.244,0.096
3_cams,cpu_pct,179,72.9,76.9,79.1,82.45,96.41,97.866,98.3,81.227,6.755
3_cams,ram_pct,179,9.9,10.0,10.1,10.2,10.3,10.322,10.4,10.116,0.112
4_cams,cpu_pct,179,86.0,89.8,91.7,97.8,98.3,98.744,98.9,93.187,4.066
4_cams,ram_pct,179,10.7,10.8,10.9,11.0,11.0,11.1,11.1,10.873,0.099
