iteration,victim,detect_ms,restore_ms,mttr_ms,status
1,cam1,43.2,1438.1,1481.2,ok
2,cam2,36.4,1879.6,1916.0,ok
3,cam3,1.8,1234.9,1236.7,ok
4,cam4,36.5,1757.5,1794.1,ok
5,cam1,32.6,119.1,151.7,ok
6,cam2,393.5,1441.6,1835.1,ok
7,cam3,402.5,914.9,1317.4,ok
8,cam4,34.6,1718.6,1753.2,ok
9,cam1,32.4,277.7,310.1,ok
10,cam2,30.6,1835.0,1865.6,ok
11,cam3,29.9,34.4,64.3,ok
12,cam4,392.9,1278.5,1671.4,ok
13,cam1,426.0,1041.5,1467.5,ok
14,cam2,35.7,1756.6,1792.3,ok
15,cam3,39.7,1156.9,1196.6,ok
16,cam4,35.9,1714.5,1750.4,ok
17,cam1,38.6,1476.4,1515.0,ok
18,cam2,27.5,1877.1,1904.7,ok
19,cam3,30.0,1239.0,1269.0,ok
20,cam4,32.6,1723.6,1756.3,ok
21,cam1,25.3,1488.9,1514.2,ok
22,cam2,39.4,1874.0,1913.4,ok
23,cam3,27.7,1283.8,1311.5,ok
24,cam4,42.0,1752.8,1794.9,ok
25,cam1,35.2,1519.8,1555.0,ok
26,cam2,32.2,1882.9,1915.1,ok
27,cam3,37.8,1199.9,1237.7,ok
28,cam4,41.4,1679.3,1720.7,ok
29,cam1,35.5,1439.0,1474.5,ok
30,cam2,36.5,1917.2,1953.8,ok
31,cam3,394.3,883.1,1277.4,ok
32,cam4,30.6,1686.1,1716.7,ok
33,cam1,38.9,1477.9,1516.9,ok
34,cam2,32.4,1835.8,1868.2,ok
35,cam3,27.4,1198.1,1225.5,ok
36,cam4,34.5,1758.5,1793.0,ok
37,cam1,33.0,1484.0,1517.1,ok
38,cam2,30.0,1808.0,1838.1,ok
39,cam3,35.1,1199.8,1234.9,ok
40,cam4,40.4,1675.7,1716.1,ok
41,cam1,42.7,1437.6,1480.3,ok
42,cam2,35.8,1839.7,1875.4,ok
43,cam3,38.4,1196.2,1234.6,ok
44,cam4,36.1,1686.5,1722.6,ok
45,cam1,36.1,1479.3,1515.4,ok
46,cam2,38.5,1798.4,1836.9,ok
47,cam3,32.0,1238.9,1271.0,ok
48,cam4,33.8,1719.4,1753.2,ok
49,cam1,37.6,1477.6,1515.2,ok
50,cam2,48.2,1789.0,1837.2,ok
51,cam3,36.9,1205.2,1242.1,ok
52,cam4,38.2,1714.7,1752.8,ok
53,cam1,32.1,1437.9,1469.9,ok
54,cam2,35.2,1878.5,1913.7,ok
55,cam3,34.8,1198.1,1232.8,ok
56,cam4,37.0,1680.4,1717.4,ok
57,cam1,34.2,1477.6,1511.8,ok
58,cam2,38.0,1836.0,1874.0,ok
59,cam3,35.1,1167.5,1202.6,ok
60,cam4,31.6,1601.9,1633.5,ok
61,cam1,31.1,1480.6,1511.7,ok
62,cam2,37.5,1795.8,1833.3,ok
63,cam3,51.5,1179.1,1230.6,ok
64,cam4,22.2,1720.1,1742.3,ok
65,cam1,31.3,1488.8,1520.1,ok
66,cam2,28.3,1829.7,1858.0,ok
67,cam3,437.9,802.9,1240.8,ok
68,cam4,38.7,1680.9,1719.6,ok
69,cam1,37.5,1485.5,1523.1,ok
70,cam2,33.3,1842.6,1875.9,ok
71,cam3,10.9,1265.9,1276.7,ok
72,cam4,8.0,1746.7,1754.7,ok
73,cam1,36.8,1485.5,1522.3,ok
74,cam2,39.1,1839.1,1878.2,ok
75,cam3,35.4,1202.8,1238.2,ok
76,cam4,36.9,1676.4,1713.3,ok
77,cam1,38.7,1437.6,1476.3,ok
78,cam2,40.4,1870.7,1911.1,ok
79,cam3,34.8,1201.0,1235.8,ok
80,cam4,32.8,1720.0,1752.8,ok
81,cam1,37.7,1437.7,1475.4,ok
82,cam2,4.4,1837.0,1841.4,ok
83,cam3,24.8,1244.6,1269.4,ok
84,cam4,34.8,1765.1,1799.9,ok
85,cam1,40.5,1477.9,1518.5,ok
86,cam2,39.4,1760.1,1799.5,ok
87,cam3,39.0,1197.8,1236.8,ok
88,cam4,33.3,1714.1,1747.4,ok
89,cam1,39.7,1475.6,1515.3,ok
90,cam2,2.6,1836.3,1838.9,ok
91,cam3,33.9,1202.5,1236.5,ok
92,cam4,30.2,1677.0,1707.1,ok
93,cam1,35.2,1483.9,1519.1,ok
94,cam2,35.5,1842.0,1877.5,ok
95,cam3,30.9,276.7,307.5,ok
96,cam4,394.6,1368.0,1762.7,ok
97,cam1,33.2,1478.4,1511.6,ok
98,cam2,36.7,42.6,79.3,ok
99,cam3,34.5,1200.8,1235.3,ok
100,cam4,390.5,1358.6,1749.2,ok
