group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,716,55.5,61.925,71.65,84.0,97.125,97.8,97.9,72.443,12.568
ALL,ram_pct,716,8.3,8.875,9.5,10.1,10.7,10.8,10.9,9.505,0.827
1_cams,cpu_pct,179,55.5,56.4,56.7,57.1,57.81,58.5,58.7,56.804,0.599
1_cams,ram_pct,179,8.3,8.4,8.4,8.4,8.5,8.5,8.5,8.406,0.057
2_cams,cpu_pct,179,63.0,65.5,66.3,67.3,68.42,68.922,69.4,66.392,1.17
2_cams,ram_pct,179,9.0,9.1,9.2,9.2,9.3,9.3,9.3,9.155,0.088
3_cams,cpu_pct,179,73.9,75.8,76.6,77.4,88.25,96.122,96.2,77.547,4.342
3_cams,ram_pct,179,9.7,9.8,9.8,9.9,9.9,10.0,10.0,9.832,0.078
4_cams,cpu_pct,179,83.3,85.4,86.3,96.65,97.71,97.9,97.9,89.03,5.314
4_cams,ram_pct,179,10.4,10.5,10.6,10.7,10.8,10.9,10.9,10.628,0.114
