timestamp,elapsed_s,cpu_pct,ram_pct,n_cameras_active
2026-07-27 23:43:36,13,56.5,8.3,1
2026-07-27 23:43:41,18,57.1,8.3,1
2026-07-27 23:43:46,23,57.2,8.4,1
2026-07-27 23:43:51,28,57.5,8.4,1
2026-07-27 23:43:56,33,57.7,8.3,1
2026-07-27 23:44:02,38,57.9,8.4,1
2026-07-27 23:44:07,43,57.7,8.4,1
2026-07-27 23:44:12,48,57.4,8.3,1
2026-07-27 23:44:17,53,55.8,8.3,1
2026-07-27 23:44:22,58,56.4,8.4,1
2026-07-27 23:44:27,63,56.4,8.5,1
2026-07-27 23:44:32,68,56.7,8.3,1
2026-07-27 23:44:37,73,58.7,8.4,1
2026-07-27 23:44:42,78,58.5,8.4,1
2026-07-27 23:44:47,83,57.6,8.5,1
2026-07-27 23:44:52,88,58.2,8.4,1
2026-07-27 23:44:57,93,57.5,8.4,1
2026-07-27 23:45:02,98,57.8,8.5,1
2026-07-27 23:45:07,103,57.4,8.3,1
2026-07-27 23:45:12,108,56.8,8.4,1
2026-07-27 23:45:17,113,57.0,8.4,1
2026-07-27 23:45:22,118,57.4,8.5,1
2026-07-27 23:45:27,123,57.4,8.4,1
2026-07-27 23:45:32,128,57.5,8.4,1
2026-07-27 23:45:37,133,57.7,8.4,1
2026-07-27 23:45:42,138,55.8,8.3,1
2026-07-27 23:45:47,143,56.9,8.4,1
2026-07-27 23:45:52,148,57.1,8.4,1
2026-07-27 23:45:57,153,56.9,8.4,1
2026-07-27 23:46:02,158,57.1,8.3,1
2026-07-27 23:46:07,163,56.8,8.3,1
2026-07-27 23:46:12,168,56.5,8.4,1
2026-07-27 23:46:17,173,56.7,8.4,1
2026-07-27 23:46:22,178,57.0,8.3,1
2026-07-27 23:46:27,183,56.7,8.4,1
2026-07-27 23:46:32,188,56.8,8.4,1
2026-07-27 23:46:37,193,56.3,8.4,1
2026-07-27 23:46:42,198,56.8,8.3,1
2026-07-27 23:46:47,203,58.4,8.3,1
2026-07-27 23:46:52,208,57.4,8.4,1
2026-07-27 23:46:57,213,56.9,8.3,1
2026-07-27 23:47:02,218,56.6,8.3,1
2026-07-27 23:47:07,223,55.6,8.4,1
2026-07-27 23:47:12,228,56.6,8.4,1
2026-07-27 23:47:17,233,56.4,8.5,1
2026-07-27 23:47:22,238,56.2,8.3,1
2026-07-27 23:47:27,243,56.0,8.4,1
2026-07-27 23:47:32,248,56.1,8.5,1
2026-07-27 23:47:37,253,55.7,8.3,1
2026-07-27 23:47:42,258,56.4,8.4,1
2026-07-27 23:47:47,263,56.5,8.5,1
2026-07-27 23:47:52,268,56.2,8.4,1
2026-07-27 23:47:57,273,56.8,8.4,1
2026-07-27 23:48:02,278,55.8,8.4,1
2026-07-27 23:48:07,283,56.6,8.4,1
2026-07-27 23:48:12,288,56.9,8.4,1
2026-07-27 23:48:17,293,56.7,8.4,1
2026-07-27 23:48:22,298,56.5,8.5,1
2026-07-27 23:48:27,303,57.8,8.4,1
2026-07-27 23:48:32,308,56.4,8.4,1
2026-07-27 23:48:37,313,57.4,8.4,1
2026-07-27 23:48:42,318,56.8,8.5,1
2026-07-27 23:48:47,323,56.7,8.4,1
2026-07-27 23:48:52,328,56.5,8.4,1
2026-07-27 23:48:57,333,56.4,8.5,1
2026-07-27 23:49:02,338,56.2,8.4,1
2026-07-27 23:49:07,343,56.6,8.4,1
2026-07-27 23:49:12,348,56.9,8.4,1
2026-07-27 23:49:17,353,56.8,8.4,1
2026-07-27 23:49:22,358,56.9,8.4,1
2026-07-27 23:49:27,363,56.3,8.4,1
2026-07-27 23:49:32,368,56.1,8.4,1
2026-07-27 23:49:37,373,56.3,8.4,1
2026-07-27 23:49:42,378,56.7,8.4,1
2026-07-27 23:49:47,383,56.8,8.4,1
2026-07-27 23:49:52,388,56.7,8.4,1
2026-07-27 23:49:57,393,56.2,8.5,1
2026-07-27 23:50:02,398,56.5,8.4,1
2026-07-27 23:50:07,403,56.4,8.5,1
2026-07-27 23:50:12,408,57.0,8.4,1
2026-07-27 23:50:17,413,56.6,8.4,1
2026-07-27 23:50:22,418,56.2,8.4,1
2026-07-27 23:50:27,423,56.3,8.3,1
2026-07-27 23:50:32,428,56.5,8.3,1
2026-07-27 23:50:37,433,56.1,8.4,1
2026-07-27 23:50:42,438,57.2,8.5,1
2026-07-27 23:50:47,443,57.1,8.4,1
2026-07-27 23:50:52,448,56.3,8.4,1
2026-07-27 23:50:57,453,56.5,8.4,1
2026-07-27 23:51:02,458,56.5,8.4,1
2026-07-27 23:51:07,463,56.6,8.4,1
2026-07-27 23:51:12,468,57.0,8.4,1
2026-07-27 23:51:17,473,56.4,8.5,1
2026-07-27 23:51:22,478,55.5,8.4,1
2026-07-27 23:51:27,483,57.7,8.4,1
2026-07-27 23:51:32,488,57.8,8.4,1
2026-07-27 23:51:37,493,56.6,8.4,1
2026-07-27 23:51:42,498,56.5,8.4,1
2026-07-27 23:51:47,503,56.6,8.3,1
2026-07-27 23:51:52,508,55.9,8.4,1
2026-07-27 23:51:57,513,56.6,8.5,1
2026-07-27 23:52:02,518,56.8,8.5,1
2026-07-27 23:52:07,523,57.2,8.4,1
2026-07-27 23:52:12,528,57.0,8.5,1
2026-07-27 23:52:17,533,56.7,8.4,1
2026-07-27 23:52:22,538,56.2,8.4,1
2026-07-27 23:52:27,543,56.7,8.5,1
2026-07-27 23:52:32,548,56.6,8.4,1
2026-07-27 23:52:37,553,56.4,8.4,1
2026-07-27 23:52:42,558,56.9,8.4,1
2026-07-27 23:52:47,563,56.4,8.5,1
2026-07-27 23:52:52,568,56.2,8.4,1
2026-07-27 23:52:57,573,56.4,8.3,1
2026-07-27 23:53:02,578,56.8,8.4,1
2026-07-27 23:53:07,583,56.7,8.4,1
2026-07-27 23:53:12,588,56.4,8.4,1
2026-07-27 23:53:17,593,56.1,8.4,1
2026-07-27 23:53:22,598,57.0,8.4,1
2026-07-27 23:53:27,603,57.2,8.5,1
2026-07-27 23:53:32,608,57.3,8.4,1
2026-07-27 23:53:37,613,57.4,8.4,1
2026-07-27 23:53:42,618,56.6,8.5,1
2026-07-27 23:53:47,623,56.4,8.4,1
2026-07-27 23:53:52,628,56.7,8.3,1
2026-07-27 23:53:57,633,56.9,8.4,1
2026-07-27 23:54:02,638,56.5,8.4,1
2026-07-27 23:54:07,643,57.4,8.4,1
2026-07-27 23:54:12,648,56.3,8.4,1
2026-07-27 23:54:17,653,56.9,8.5,1
2026-07-27 23:54:22,658,56.4,8.4,1
2026-07-27 23:54:27,663,56.6,8.4,1
2026-07-27 23:54:32,668,57.1,8.4,1
2026-07-27 23:54:37,673,57.2,8.5,1
2026-07-27 23:54:42,678,55.9,8.4,1
2026-07-27 23:54:47,683,56.5,8.3,1
2026-07-27 23:54:52,688,56.0,8.5,1
2026-07-27 23:54:57,693,56.6,8.4,1
2026-07-27 23:55:02,698,56.7,8.3,1
2026-07-27 23:55:07,703,56.9,8.4,1
2026-07-27 23:55:12,708,56.4,8.4,1
2026-07-27 23:55:17,713,56.1,8.4,1
2026-07-27 23:55:22,718,56.2,8.4,1
2026-07-27 23:55:27,723,56.0,8.4,1
2026-07-27 23:55:32,728,56.8,8.4,1
2026-07-27 23:55:37,733,55.7,8.4,1
2026-07-27 23:55:42,738,56.6,8.4,1
2026-07-27 23:55:47,743,56.5,8.4,1
2026-07-27 23:55:52,748,57.4,8.4,1
2026-07-27 23:55:57,753,57.5,8.5,1
2026-07-27 23:56:02,758,56.4,8.5,1
2026-07-27 23:56:07,763,56.1,8.4,1
2026-07-27 23:56:12,768,56.7,8.4,1
2026-07-27 23:56:17,773,56.6,8.4,1
2026-07-27 23:56:22,778,57.1,8.4,1
2026-07-27 23:56:27,783,57.6,8.4,1
2026-07-27 23:56:32,788,56.6,8.4,1
2026-07-27 23:56:37,793,57.8,8.4,1
2026-07-27 23:56:42,798,57.0,8.5,1
2026-07-27 23:56:47,803,56.9,8.4,1
2026-07-27 23:56:52,808,57.4,8.4,1
2026-07-27 23:56:57,813,58.1,8.5,1
2026-07-27 23:57:02,818,56.3,8.5,1
2026-07-27 23:57:07,823,56.8,8.4,1
2026-07-27 23:57:12,828,57.1,8.4,1
2026-07-27 23:57:17,833,56.6,8.4,1
2026-07-27 23:57:22,838,56.1,8.5,1
2026-07-27 23:57:27,843,56.4,8.4,1
2026-07-27 23:57:32,848,56.5,8.4,1
2026-07-27 23:57:37,853,58.1,8.4,1
2026-07-27 23:57:42,858,57.6,8.5,1
2026-07-27 23:57:47,863,57.8,8.4,1
2026-07-27 23:57:52,868,58.0,8.4,1
2026-07-27 23:57:57,873,56.4,8.5,1
2026-07-27 23:58:02,878,57.0,8.5,1
2026-07-27 23:58:07,883,57.2,8.4,1
2026-07-27 23:58:12,888,58.5,8.5,1
2026-07-27 23:58:17,893,57.5,8.4,1
2026-07-27 23:58:22,898,56.7,8.4,1
2026-07-27 23:58:27,903,57.4,8.4,1
2026-07-27 23:58:40,916,67.4,9.2,2
2026-07-27 23:58:45,921,65.3,9.2,2
2026-07-27 23:58:50,926,65.1,9.2,2
2026-07-27 23:58:55,931,65.2,9.2,2
2026-07-27 23:59:00,936,64.5,9.2,2
2026-07-27 23:59:05,941,65.1,9.2,2
2026-07-27 23:59:10,946,65.4,9.2,2
2026-07-27 23:59:15,951,65.3,9.3,2
2026-07-27 23:59:20,956,65.1,9.2,2
2026-07-27 23:59:25,961,65.0,9.2,2
2026-07-27 23:59:30,966,64.6,9.1,2
2026-07-27 23:59:35,971,64.8,9.2,2
2026-07-27 23:59:40,976,65.0,9.2,2
2026-07-27 23:59:45,982,65.5,9.0,2
2026-07-27 23:59:50,987,65.7,9.0,2
2026-07-27 23:59:55,992,65.5,9.1,2
2026-07-28 00:00:00,997,65.1,9.1,2
2026-07-28 00:00:05,1002,66.1,9.1,2
2026-07-28 00:00:10,1007,66.0,9.1,2
2026-07-28 00:00:15,1012,66.0,9.0,2
2026-07-28 00:00:20,1017,66.6,9.1,2
2026-07-28 00:00:25,1022,65.5,9.0,2
2026-07-28 00:00:31,1027,65.5,9.1,2
2026-07-28 00:00:36,1032,67.1,9.0,2
2026-07-28 00:00:41,1037,66.4,9.1,2
2026-07-28 00:00:46,1042,65.5,9.1,2
2026-07-28 00:00:51,1047,66.5,9.0,2
2026-07-28 00:00:56,1052,67.9,9.0,2
2026-07-28 00:01:01,1057,65.8,9.0,2
2026-07-28 00:01:06,1062,67.3,9.1,2
