group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,969,0.0,48.2,64.5,81.4,93.6,96.6,97.0,65.051,17.895
ALL,ram_pct,969,0.0,7.3,8.6,9.1,9.3,9.4,9.4,8.272,1.034
0_cams,cpu_pct,7,0.0,0.0,0.0,0.0,27.37,36.754,39.1,5.586,14.778
0_cams,ram_pct,7,0.0,0.0,0.0,0.0,4.41,5.922,6.3,0.9,2.381
1_cams,cpu_pct,237,39.1,43.9,45.1,46.1,47.32,48.2,48.9,45.0,1.478
1_cams,ram_pct,237,6.3,7.1,7.2,7.2,7.3,7.3,7.3,7.138,0.127
2_cams,cpu_pct,234,44.7,52.8,54.1,55.775,60.135,66.9,75.6,54.585,3.557
2_cams,ram_pct,234,7.3,8.1,8.1,8.2,8.3,8.3,8.3,8.097,0.112
3_cams,cpu_pct,242,56.7,68.625,71.6,79.25,85.595,87.777,87.9,73.85,6.636
3_cams,ram_pct,242,8.2,8.7,8.7,8.8,8.9,8.9,8.9,8.743,0.093
4_cams,cpu_pct,249,67.1,82.2,85.9,92.4,96.46,96.6,97.0,87.093,6.092
4_cams,ram_pct,249,8.7,9.2,9.3,9.3,9.4,9.4,9.4,9.263,0.074
