group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1294,0.0,56.6,68.2,80.8,96.9,97.5,97.7,69.156,16.318
ALL,ram_pct,1294,0.0,12.3,14.95,17.0,18.0,18.2,18.3,14.408,2.995
0_cams,cpu_pct,260,0.0,48.1,48.65,49.925,50.6,51.0,51.2,47.833,7.447
0_cams,ram_pct,260,0.0,9.5,10.1,10.6,10.8,10.9,10.9,9.794,1.635
1_cams,cpu_pct,254,48.4,56.6,57.5,58.4,59.3,59.747,60.2,57.411,1.352
1_cams,ram_pct,254,10.9,12.3,12.8,13.2,13.4,13.547,13.6,12.714,0.549
2_cams,cpu_pct,258,58.2,67.0,68.2,69.475,71.115,72.6,73.5,68.172,1.945
2_cams,ram_pct,258,13.6,14.625,14.9,15.5,15.6,15.7,15.7,14.971,0.5
3_cams,cpu_pct,264,68.1,78.5,79.5,80.8,94.44,95.7,95.9,80.386,4.278
3_cams,ram_pct,264,15.6,16.5,16.8,17.0,17.1,17.1,17.2,16.703,0.318
4_cams,cpu_pct,258,77.4,87.6,89.65,96.9,97.5,97.7,97.7,91.701,4.733
4_cams,ram_pct,258,17.0,17.7,17.8,18.0,18.2,18.2,18.3,17.813,0.229
