group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,36.8,43.2,53.5,78.35,93.2,96.305,97.0,59.585,18.831
ALL,ram_pct,896,7.5,8.3,9.0,9.8,10.4,10.4,10.5,8.991,1.012
0_cams,cpu_pct,180,36.8,38.5,39.0,39.4,40.0,40.142,47.3,38.989,0.894
0_cams,ram_pct,180,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.544,0.05
1_cams,cpu_pct,179,41.8,43.2,43.9,44.6,45.9,46.244,46.8,43.939,1.011
1_cams,ram_pct,179,8.2,8.3,8.3,8.3,8.3,8.3,8.4,8.293,0.028
2_cams,cpu_pct,179,48.8,52.2,53.5,55.35,58.86,68.61,72.1,54.222,3.513
2_cams,ram_pct,179,8.9,9.0,9.0,9.0,9.1,9.122,9.2,8.988,0.06
3_cams,cpu_pct,179,61.9,67.1,71.0,79.75,85.21,88.142,89.2,73.203,6.976
3_cams,ram_pct,179,9.5,9.7,9.8,9.8,9.9,9.9,9.9,9.77,0.089
4_cams,cpu_pct,179,73.5,82.65,86.3,93.2,96.31,96.822,97.0,87.685,5.961
4_cams,ram_pct,179,10.3,10.3,10.4,10.4,10.4,10.5,10.5,10.37,0.049
