group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,27.7,36.1,47.3,62.2,93.525,94.6,95.7,52.31,20.738
ALL,ram_pct,896,7.9,8.9,9.6,10.5,11.3,11.4,11.5,9.631,1.13
0_cams,cpu_pct,180,27.7,28.675,29.0,29.3,29.505,30.105,36.3,28.984,0.714
0_cams,ram_pct,180,7.9,8.0,8.0,8.0,8.0,8.1,8.1,7.999,0.03
1_cams,cpu_pct,179,34.1,36.1,36.7,37.4,38.52,39.222,39.4,36.77,1.017
1_cams,ram_pct,179,8.8,8.9,8.9,8.9,9.0,9.0,9.0,8.895,0.049
2_cams,cpu_pct,179,43.4,46.5,47.3,48.7,51.9,85.922,87.7,48.859,6.934
2_cams,ram_pct,179,9.5,9.6,9.6,9.7,9.7,9.7,9.8,9.626,0.058
3_cams,cpu_pct,179,54.8,58.65,60.1,62.0,91.01,91.9,92.2,63.679,10.401
3_cams,ram_pct,179,10.2,10.3,10.5,10.5,10.6,10.6,10.6,10.434,0.101
4_cams,cpu_pct,179,66.0,74.05,79.7,93.55,94.6,95.032,95.7,83.387,9.913
4_cams,ram_pct,179,11.0,11.1,11.2,11.3,11.4,11.5,11.5,11.211,0.1
