group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,38.0,43.2,51.4,61.325,90.525,93.4,94.0,54.694,14.407
ALL,ram_pct,896,7.9,9.0,9.8,10.8,11.5,11.6,11.7,9.776,1.247
0_cams,cpu_pct,180,38.0,39.4,39.7,40.0,40.5,41.021,45.8,39.678,0.723
0_cams,ram_pct,180,7.9,7.9,7.9,7.9,8.0,8.0,8.0,7.911,0.031
1_cams,cpu_pct,179,41.6,43.2,43.7,44.2,44.7,45.1,45.6,43.689,0.666
1_cams,ram_pct,179,8.8,9.0,9.0,9.1,9.1,9.1,9.1,9.008,0.069
2_cams,cpu_pct,179,49.1,50.75,51.4,52.0,52.8,53.322,53.4,51.378,0.833
2_cams,ram_pct,179,9.6,9.7,9.8,9.9,10.0,10.1,10.1,9.825,0.14
3_cams,cpu_pct,179,57.2,59.3,60.2,61.35,90.51,91.344,91.6,63.925,10.051
3_cams,ram_pct,179,10.5,10.7,10.7,10.8,10.8,10.9,10.9,10.702,0.087
4_cams,cpu_pct,179,66.9,69.5,70.7,73.15,93.4,93.744,94.0,74.884,9.19
4_cams,ram_pct,179,11.2,11.4,11.4,11.5,11.6,11.622,11.7,11.446,0.097
