group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,716,33.3,41.35,53.1,77.675,95.9,97.7,98.2,59.018,20.685
ALL,ram_pct,716,6.7,7.2,7.8,8.3,8.8,8.8,8.9,7.785,0.719
1_cams,cpu_pct,179,33.3,36.1,37.0,38.0,38.92,39.866,41.2,36.989,1.341
1_cams,ram_pct,179,6.7,6.8,6.8,6.8,6.9,6.9,6.9,6.82,0.049
2_cams,cpu_pct,179,41.4,44.05,45.7,47.65,51.42,60.744,64.9,46.322,3.687
2_cams,ram_pct,179,7.3,7.4,7.5,7.5,7.6,7.6,7.6,7.47,0.074
3_cams,cpu_pct,179,49.1,58.0,61.9,68.2,79.16,86.414,90.7,63.684,8.122
3_cams,ram_pct,179,8.0,8.1,8.1,8.2,8.2,8.2,8.2,8.116,0.061
4_cams,cpu_pct,179,65.8,85.35,90.7,95.1,97.61,98.0,98.2,89.075,7.537
4_cams,ram_pct,179,8.6,8.7,8.8,8.8,8.8,8.822,8.9,8.736,0.076
