group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,38.0,49.4,62.9,83.325,97.7,98.405,99.0,65.755,20.245
ALL,ram_pct,896,8.5,9.5,10.4,11.1,11.8,11.9,11.9,10.271,1.12
0_cams,cpu_pct,180,38.0,39.1,39.4,39.7,40.3,40.521,40.7,39.396,0.482
0_cams,ram_pct,180,8.5,8.6,8.6,8.6,8.6,8.7,8.7,8.598,0.029
1_cams,cpu_pct,179,47.6,49.4,50.1,51.0,52.11,52.544,53.0,50.21,1.078
1_cams,ram_pct,179,9.4,9.5,9.5,9.6,9.6,9.6,9.6,9.54,0.054
2_cams,cpu_pct,179,59.7,62.1,62.9,64.15,69.46,92.988,94.2,64.483,6.209
2_cams,ram_pct,179,10.2,10.3,10.4,10.4,10.5,10.5,10.5,10.379,0.069
3_cams,cpu_pct,179,73.1,77.3,79.0,82.9,96.4,96.8,96.9,81.511,6.704
3_cams,ram_pct,179,10.9,11.0,11.1,11.1,11.2,11.2,11.2,11.07,0.07
4_cams,cpu_pct,179,85.0,90.15,91.8,97.7,98.41,98.822,99.0,93.321,3.857
4_cams,ram_pct,179,11.7,11.7,11.8,11.8,11.9,11.9,11.9,11.775,0.056
