group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,1271,0.0,50.8,64.9,84.25,97.6,98.43,98.7,66.925,20.074
ALL,ram_pct,1271,0.0,12.5,14.7,17.0,18.2,18.3,18.4,14.422,3.053
0_cams,cpu_pct,255,0.0,40.6,41.2,42.4,43.1,43.492,43.8,40.515,6.374
0_cams,ram_pct,255,0.0,9.4,10.2,10.5,10.8,10.9,11.2,9.739,1.648
1_cams,cpu_pct,249,41.9,50.8,51.7,52.8,54.3,55.452,56.1,51.746,1.77
1_cams,ram_pct,249,11.2,12.5,12.9,13.3,13.7,13.8,13.8,12.846,0.594
2_cams,cpu_pct,257,52.9,63.5,64.9,66.7,77.3,92.488,93.0,66.265,6.214
2_cams,ram_pct,257,13.7,14.5,14.7,14.9,15.1,15.2,15.3,14.698,0.277
3_cams,cpu_pct,252,62.4,77.8,80.0,82.9,97.4,97.7,97.9,82.137,6.829
3_cams,ram_pct,252,15.2,16.4,16.8,17.0,17.2,17.2,17.2,16.683,0.429
4_cams,cpu_pct,258,77.2,90.425,92.5,97.3,98.415,98.6,98.7,93.48,3.689
4_cams,ram_pct,258,17.2,17.9,18.2,18.2,18.3,18.4,18.4,18.086,0.209
