group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,31.2,37.6,48.0,70.0,88.925,96.105,96.9,53.404,18.869
ALL,ram_pct,896,6.9,7.7,8.4,9.1,9.5,9.5,9.6,8.32,0.899
0_cams,cpu_pct,180,31.2,32.4,32.8,33.2,33.7,33.9,39.5,32.788,0.786
0_cams,ram_pct,180,6.9,7.0,7.0,7.0,7.0,7.0,7.0,6.982,0.039
1_cams,cpu_pct,179,36.2,37.6,38.3,39.0,40.2,40.544,40.9,38.381,0.996
1_cams,ram_pct,179,7.6,7.7,7.7,7.7,7.8,7.8,7.8,7.708,0.049
2_cams,cpu_pct,179,43.6,46.8,48.0,49.2,52.64,62.988,63.6,48.474,3.142
2_cams,ram_pct,179,8.3,8.4,8.4,8.4,8.5,8.6,8.6,8.42,0.063
3_cams,cpu_pct,179,55.0,59.8,62.3,71.3,76.7,79.922,84.2,65.037,6.862
3_cams,ram_pct,179,8.9,9.0,9.0,9.1,9.1,9.1,9.2,9.02,0.082
4_cams,cpu_pct,179,67.3,75.9,81.0,88.95,96.11,96.522,96.9,82.456,8.093
4_cams,ram_pct,179,9.3,9.5,9.5,9.5,9.5,9.6,9.6,9.479,0.053
