group,metric,n,min,q1,median,q3,p95,p99,max,mean,std
ALL,cpu_pct,896,26.0,35.5,44.5,65.35,94.325,97.805,98.3,51.932,21.678
ALL,ram_pct,896,7.2,7.9,8.6,9.225,10.0,10.0,10.0,8.572,0.969
0_cams,cpu_pct,180,26.0,28.5,29.0,29.7,31.61,32.526,33.1,29.148,1.163
0_cams,ram_pct,180,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0.0
1_cams,cpu_pct,179,33.9,35.5,35.9,36.6,38.0,38.554,39.3,36.112,0.952
1_cams,ram_pct,179,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.893,0.025
2_cams,cpu_pct,179,41.0,43.5,44.5,45.8,49.85,58.832,62.7,45.231,3.2
2_cams,ram_pct,179,8.5,8.6,8.6,8.6,8.7,8.7,8.7,8.596,0.06
3_cams,cpu_pct,179,46.9,55.65,59.5,65.95,77.08,85.426,89.2,61.451,8.384
3_cams,ram_pct,179,9.1,9.2,9.2,9.25,9.3,9.3,9.3,9.222,0.048
4_cams,cpu_pct,179,63.3,84.05,89.6,94.35,97.81,98.022,98.3,87.847,8.365
4_cams,ram_pct,179,9.8,9.9,10.0,10.0,10.0,10.0,10.0,9.954,0.055
